Sample_Number,Sample ID,L_Tron,T_Ment,T_Ment#,Week,Date (DD-MM-YYYY),Time (24:00),Nutrient sampled,Well-plate,Depth,Equipment Used,Sample Vol (mL),Who? (Initials) ,Notes
111,111 - Particulate C/N/P,7,Heat,2,4,1/8/2023,16:07,Particulate C/N/P,D11,Integrated,Zoop Tube,400,HC/AA,
112,112 - TP/TN,8,Salt + Heat,2,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
113,113 - SRP/NH4/NO3/NO2,8,Salt + Heat,2,4,1/8/2023,16:07,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
114,114 - Particulate C/N/P,8,Salt + Heat,2,4,1/8/2023,16:07,Particulate C/N/P,D12,Integrated,Zoop Tube,400,HC/AA,
115,115 - TP/TN,9,Control,3,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
116,116 - SRP/NH4/NO3/NO2,9,Control,3,4,1/8/2023,16:23,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
117,117 - Particulate C/N/P,9,Control,3,4,1/8/2023,16:23,Particulate C/N/P,E1,Integrated,Zoop Tube,400,HC/AA,
118,118 - Blank TP/TN,na,Blank,na,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,DI Water
119,119 - Blank SRP/NH4/NO3/NO2,na,Blank,na,4,1/8/2023,16:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,DI Water
120,120 - Blank Particulate C/N/P,na,Blank,na,4,1/8/2023,16:30,Particulate C/N/P,E2,Integrated,Zoop Tube,400,HC/AA,DI Water
121,121 - TP/TN,1,Salt,1,5,9/8/2023,11:59,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
122,122 - SRP/NH4/NO3/NO2,1,Salt,1,5,9/8/2023,13:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
123,123 - Particulate C/N/P,1,Salt,1,5,9/8/2023,13:30,Particulate C/N/P,C7,Integrated,Zoop Tube,400,HC/AS,
124,124 - TP/TN,2,Control,1,5,9/8/2023,11:59,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
125,125 - SRP/NH4/NO3/NO2,2,Control,1,5,9/8/2023,13:34,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
126,126 - Particulate C/N/P,2,Control,1,5,9/8/2023,13:34,Particulate C/N/P,C8,Integrated,Zoop Tube,400,HC/AS,
127,127 - TP/TN,3,Salt + Heat,1,5,9/8/2023,12:00,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
128,128 - SRP/NH4/NO3/NO2,3,Salt + Heat,1,5,9/8/2023,13:45,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
129,129 - Particulate C/N/P,3,Salt + Heat,1,5,9/8/2023,13:45,Particulate C/N/P,C9,Integrated,Zoop Tube,400,HC/AS,
130,130 - TP/TN,4,Heat,1,5,9/8/2023,12:00,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
131,131 - SRP/NH4/NO3/NO2,4,Heat,1,5,9/8/2023,14:00,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
132,132 - Particulate C/N/P,4,Heat,1,5,9/8/2023,14:00,Particulate C/N/P,C10,Integrated,Zoop Tube,400,HC/AS,
133,133 - TP/TN,5,Control,2,5,9/8/2023,12:00,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
134,134 - SRP/NH4/NO3/NO2,5,Control,2,5,9/8/2023,14:02,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
135,135 - Particulate C/N/P,5,Control,2,5,9/8/2023,14:02,Particulate C/N/P,C11,Integrated,Zoop Tube,400,HC/AS,
136,136 - TP/TN,6,Salt,2,5,9/8/2023,12:16,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
137,137 - SRP/NH4/NO3/NO2,6,Salt,2,5,9/8/2023,14:12,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
138,138 - Particulate C/N/P,6,Salt,2,5,9/8/2023,14:12,Particulate C/N/P,C12,Integrated,Zoop Tube,400,HC/AS,
139,139 - TP/TN,7,Heat,2,5,9/8/2023,12:16,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
140,140 - SRP/NH4/NO3/NO2,7,Heat,2,5,9/8/2023,14:32,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
141,141 - Particulate C/N/P,7,Heat,2,5,9/8/2023,14:32,Particulate C/N/P,D1,Integrated,Zoop Tube,400,HC/AS,
142,142 - TP/TN,8,Salt + Heat,2,5,9/8/2023,12:17,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
143,143 - SRP/NH4/NO3/NO2,8,Salt + Heat,2,5,9/8/2023,14:40,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
144,144 - Particulate C/N/P,8,Salt + Heat,2,5,9/8/2023,14:40,Particulate C/N/P,D2,Integrated,Zoop Tube,400,HC/AS,
145,145 - TP/TN,9,Control,3,5,9/8/2023,12:18,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
146,146 - SRP/NH4/NO3/NO2,9,Control,3,5,9/8/2023,14:45,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
147,147 - Particulate C/N/P,9,Control,3,5,9/8/2023,14:45,Particulate C/N/P,D3,Integrated,Zoop Tube,400,HC/AS,
148,148 - Blank TP/TN,na,Blank,na,5,9/8/2023,12:19,TP/TN,,Integrated,Zoop Tube,15,HC/AS,DI Water
149,149 - Blank SRP/NH4/NO3/NO2,na,Blank,na,5,9/8/2023,14:50,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,DI Water
150,150 - Particulate C/N/P,na,Blank,na,5,9/8/2023,14:50,Particulate C/N/P,D4,Integrated,Zoop Tube,400,HC/AS,
151,151 - TP/TN,1,Salt,1,6,15-08-2023,13:25,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
152,152 - SRP/NH4/NO3/NO2,1,Salt,1,6,15-08-2023,13:25,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
153,153 - Particulate C/N/P,1,Salt,1,6,15-08-2023,13:25,Particulate C/N/P,F11,Integrated,Zoop Tube,400,HC/AS,
154,154 - TP/TN,2,Control,1,6,15-08-2023,13:40,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
155,155 - SRP/NH4/NO3/NO2,2,Control,1,6,15-08-2023,13:40,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
156,156 - Particulate C/N/P,2,Control,1,6,15-08-2023,13:40,Particulate C/N/P,F12,Integrated,Zoop Tube,400,HC/AS,
157,157 - TP/TN,3,Salt + Heat,1,6,15-08-2023,13:50,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
158,158 - SRP/NH4/NO3/NO2,3,Salt + Heat,1,6,15-08-2023,13:50,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
159,159 - Particulate C/N/P,3,Salt + Heat,1,6,15-08-2023,13:50,Particulate C/N/P,G1,Integrated,Zoop Tube,400,HC/AS,
160,160 - TP/TN,4,Heat,1,6,15-08-2023,14:15,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
